year,accuracy,precision,recall,F1,ROC_AOC_score
1,0.896,1.0,0.775,0.873,0.887
2,0.553,0.545,0.522,0.533,0.553
3,0.9,0.873,1.0,0.932,0.843
4,0.97,0.976,0.976,0.976,0.969
5,0.946,0.933,0.986,0.959,0.932
6,0.785,0.727,1.0,0.842,0.747
7,0.469,0.547,0.655,0.596,0.424
8,0.534,0.554,0.829,0.664,0.498
9,0.618,0.691,0.807,0.745,0.5
